2022-03-16 19:03:635 INFO  ManageDriver :31 - Launching Chrome Browser
2022-03-17 17:03:525 INFO  ProductPage :30 - Clicking On CartButton :[[ChromeDriver: chrome on WINDOWS (4061d698b003df373d8a790ca96e19dd)] -> css selector: #shopping_cart_container]
2022-03-17 17:03:741 INFO  ProductPage :34 - Clicking On Checkout :Proxy element for: DefaultElementLocator 'By.cssSelector: .btn_action.checkout_button'
2022-03-17 17:03:789 INFO  CheckOutPage :41 - Clicking On Continue Button :Proxy element for: DefaultElementLocator 'By.cssSelector: [type='submit']'
2022-03-17 17:03:46 INFO  CheckOutPage :46 - Clicking On Finish Button :Proxy element for: DefaultElementLocator 'By.cssSelector: .cart_button'
2022-03-17 17:03:73 INFO  CompleteCheckoutPage :21 - Getting confirmation text to confirm Order [[ChromeDriver: chrome on WINDOWS (4061d698b003df373d8a790ca96e19dd)] -> css selector: .complete-header]
2022-03-21 15:03:747 INFO  WebDrivers :31 - Launching Chrome Browser
2022-03-21 15:03:143 INFO  LoginPage :31 -  Enter username standard_user to the field[[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> css selector: #user-name]And Password secret_sauce to the field[[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> id: password]
2022-03-21 15:03:511 INFO  LoginPage :37 - Clicking On login Button :Proxy element for: DefaultElementLocator 'By.id: login-button'
2022-03-21 15:03:725 INFO  ProductPage :39 - Select Product From DropDown:[[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> class: product_sort_container]
2022-03-21 15:03:852 INFO  ProductPage :44 - Clicking On Cheapest Price Product :[[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> css selector: .inventory_list .inventory_item:nth-of-type(6) .btn_inventory]
2022-03-21 15:03:996 INFO  ProductPage :30 - Clicking On CartButton :[[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> css selector: #shopping_cart_container]
2022-03-21 15:03:162 INFO  ProductPage :34 - Clicking On Checkout :Proxy element for: DefaultElementLocator 'By.cssSelector: .btn_action.checkout_button'
2022-03-21 15:03:874 INFO  CheckOutPage :41 - Clicking On Continue Button :Proxy element for: DefaultElementLocator 'By.cssSelector: [type='submit']'
2022-03-21 15:03:57 INFO  CheckOutPage :46 - Clicking On Finish Button :Proxy element for: DefaultElementLocator 'By.cssSelector: .cart_button'
2022-03-21 15:03:88 INFO  CompleteCheckoutPage :21 - Getting confirmation text to confirm Order [[ChromeDriver: chrome on WINDOWS (df0d6d67832c7cb2ab5a96b937e48ccf)] -> css selector: .complete-header]
